"IPK";"FAKULTAS";"JENIS KELAMIN";"EKSPEKTASI GAJI";"LOKASI KERJA";"MASA TUNGGU"
-0.49459449152023494;"EKONOMI";"Perempuan";"diatas 4 juta";"dalam daerah dan sekitarnya";"3 bulan lebih"
-0.6203938611996853;"EKONOMI";"Laki laki";"diatas 4 juta";"luar daerah";"3 bulan lebih"
0.13440235687702048;"EKONOMI";"Perempuan";"diatas 4 juta";"dalam daerah dan sekitarnya";"3 bulan lebih"
1.3085298072185656;"EKONOMI";"Perempuan";"dibawah 4 juta";"dalam daerah dan sekitarnya";"3 bulan atau kurang"
0.6795329588213084;"EKONOMI";"Perempuan";"dibawah 4 juta";"dalam daerah dan sekitarnya";"3 bulan lebih"
0.05053611042405298;"EKONOMI";"Perempuan";"dibawah 4 juta";"dalam daerah dan sekitarnya";"3 bulan atau kurang"
-0.6203938611996853;"EKONOMI";"Laki laki";"diatas 4 juta";"dalam daerah dan sekitarnya";"3 bulan lebih"
-0.7881263541056203;"EKONOMI";"Perempuan";"diatas 4 juta";"dalam daerah dan sekitarnya";"3 bulan lebih"
-1.5429225721823279;"EKONOMI";"Perempuan";"diatas 4 juta";"luar daerah";"3 bulan lebih"
-4.058909965771352;"PERTANIAN";"Perempuan";"diatas 4 juta";"dalam daerah dan sekitarnya";"3 bulan lebih"
-2.046120050900133;"PERTANIAN";"Laki laki";"diatas 4 juta";"dalam daerah dan sekitarnya";"3 bulan lebih"
0.7214660820477931;"PERTANIAN";"Perempuan";"diatas 4 juta";"dalam daerah dan sekitarnya";"3 bulan lebih"
-0.7042601076526528;"PERTANIAN";"Perempuan";"dibawah 4 juta";"luar daerah";"3 bulan atau kurang"
-0.7881263541056203;"PERTANIAN";"Perempuan";"dibawah 4 juta";"dalam daerah dan sekitarnya";"3 bulan atau kurang"
-0.07526325925539736;"PERTANIAN";"Perempuan";"diatas 4 juta";"dalam daerah dan sekitarnya";"3 bulan lebih"
-1.6687219418617782;"PERTANIAN";"Laki laki";"dibawah 4 juta";"dalam daerah dan sekitarnya";"3 bulan atau kurang"
-0.3268619986142999;"PERTANIAN";"Perempuan";"diatas 4 juta";"dalam daerah dan sekitarnya";"3 bulan lebih"
-0.2849288753878171;"PERTANIAN";"Laki laki";"dibawah 4 juta";"dalam daerah dan sekitarnya";"3 bulan lebih"
0.8053323285007606;"PERTANIAN";"Perempuan";"dibawah 4 juta";"dalam daerah dan sekitarnya";"3 bulan atau kurang"
-0.2849288753878171;"EKONOMI";"Laki laki";"dibawah 4 juta";"dalam daerah dan sekitarnya";"3 bulan atau kurang"
-0.07526325925539736;"PERTANIAN";"Laki laki";"diatas 4 juta";"dalam daerah dan sekitarnya";"3 bulan lebih"
2.314924764654174;"KEGURUAN DAN ILMU PENDIDIKAN";"Perempuan";"diatas 4 juta";"dalam daerah dan sekitarnya";"3 bulan lebih"
0.09246923365053768;"EKONOMI";"Perempuan";"dibawah 4 juta";"dalam daerah dan sekitarnya";"3 bulan atau kurang"
-1.4171232025028775;"EKONOMI";"Laki laki";"dibawah 4 juta";"dalam daerah dan sekitarnya";"3 bulan atau kurang"
0.13440235687702048;"EKONOMI";"Laki laki";"dibawah 4 juta";"dalam daerah dan sekitarnya";"3 bulan atau kurang"
-0.66232698442617;"EKONOMI";"Laki laki";"diatas 4 juta";"luar daerah";"3 bulan lebih"
-0.11719638248188205;"EKONOMI";"Perempuan";"dibawah 4 juta";"dalam daerah dan sekitarnya";"3 bulan lebih"
0.8891985749537281;"EKONOMI";"Perempuan";"diatas 4 juta";"luar daerah";"3 bulan lebih"
0.5537335891418581;"EKONOMI";"Perempuan";"dibawah 4 juta";"dalam daerah dan sekitarnya";"3 bulan atau kurang"
-1.2913238328234253;"EKONOMI";"Laki laki";"dibawah 4 juta";"luar daerah";"3 bulan atau kurang"
0.8891985749537281;"EKONOMI";"Perempuan";"dibawah 4 juta";"luar daerah";"3 bulan atau kurang"
